Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
11,NCT01949857,The Immunogenicity and Safety of Inactivated and Live Attenuated Hepatitis A Vaccines,HAV,Completed,No Results Available,Hepatitis A,"Biological: Attenuated HAV Vaccine, H2 Strain|Biological: Attenuated HAV Vaccine, L-A-1 Strain|Biological: Inactivated HAV Vaccine, Lu8 Strain|Biological: Inactivated HAV Vaccine, TZ84 Strain",changes of hepatitis A antibody concentration|The frequency of all the adverse events in vaccine group and placebo group,Chinese Academy of Medical Sciences|Jiangsu Province Centers for Disease Control and Prevention,All,"18 Months to 65 Years   (Child, Adult, Older Adult)",Phase 4,35000,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",qiangmingsun123456!,September 2013,December 2015,June 2016,"September 25, 2013",,"August 1, 2016","Institute of Medical Biology -Chinese Academy of Medical Sciences, Kunming, Yunnan, China",,https://ClinicalTrials.gov/show/NCT01949857
12,NCT01349829,A Study to Evaluate the Safety and Immunogenicity of the Hepatitis A Virus Vaccine HAVpur in Healthy Young Children,,Completed,Has Results,Hepatitis A,Biological: HAVpur Junior|Biological: Havrix 720 Junior,Seroprotection at Month 1|Seroprotection at Month 6|Seroprotection at Month 7|Geometric Mean Concentrations (GMCs),Crucell Holland BV,All,18 Months to 47 Months   (Child),Phase 4,251,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,EPA-V-A008,March 2010,April 2011,April 2011,"May 9, 2011","December 17, 2013","December 17, 2013","Medical College and Chacha Nehru Bal Chikitsalay, Indore, Madhya Pradesh, India|Rajiv Ghandi Medical College, Thane, Maharashtra, India|Christian Medical College and Hospital, Ludhiana, Punjab, India",,https://ClinicalTrials.gov/show/NCT01349829
13,NCT03183492,Immunogenicity and Persistence of GlaxoSmithKline (GSK) Biologicals' Havrix® in Healthy Adult Subjects Vaccinated at Infancy Under the Hepatitis A Universal Mass Vaccination (UMV) Program in Israel,,Withdrawn,No Results Available,Hepatitis A,Biological: Havrix®,"Evaluation of immunity to hepatitis A in terms of anti-HAV (Antibodies against Hepatitis A virus) seropositivity status.|Evaluation of immunity to hepatitis A in terms of anti-HAV antibody concentrations.|Evaluation of immunity to hepatitis A in terms of anti-HAV anamnestic response to hepatitis A vaccine challenge dose.|Evaluation of immunity to hepatitis A in terms of anti-HAV seropositivity status in response to hepatitis A vaccine challenge dose.|Evaluation of immunity to hepatitis A in terms of anti-HAV antibody concentrations in response to hepatitis A vaccine challenge dose.|Occurrence of solicited local and general symptoms.|Occurrence of unsolicited symptoms, according to the Medical Dictionary for Regulatory Activities (MedDRA) classification.|Occurrence of Serious Adverse Events (SAEs).",GlaxoSmithKline,All,18 Years to 19 Years   (Adult),Phase 4,0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,116762,"May 7, 2018","January 28, 2019","January 28, 2019","June 12, 2017",,"March 2, 2018",,,https://ClinicalTrials.gov/show/NCT03183492
14,NCT00139139,A Study to Compare the Efficacy of Hepatitis A Vaccine and Immune Globulin When Given After Exposure to Hepatitis A,,Completed,No Results Available,Hepatitis A,Biological: Hepatitis A vaccine,"clincal hepatitis A disease|1) subclinical hepatitis A|2) asymptomatic hepatitis A virus infection, with hepatitis A virus viremia","Centers for Disease Control and Prevention|University of Michigan|Ministry of Health, Kazakhstan",All,"2 Years to 40 Years   (Child, Adult)",Not Applicable,1500,U.S. Fed|Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double|Primary Purpose: Prevention,CDC-NCID-2643|ASPHS196421/21,September 2003,,May 2005,"August 31, 2005",,"August 31, 2005","Sanitary EpidemiologyAuthority, Almaty, Kazakhstan",,https://ClinicalTrials.gov/show/NCT00139139
15,NCT00289757,"Long-Term Immune Persistence of GlaxoSmithKline Biologicals' Inactivated Hepatitis A Vaccine, Injected According to 0, 6-month Schedule",,Completed,Has Results,Hepatitis A,Biological: Havrix™,"Anti-hepatitis A Virus (Anti-HAV) Antibody Concentration|Number of Seropositive Subjects for Anti-HAV Antibodies.|Number of Subjects Reporting Serious Adverse Events (SAE) Assessed by the Investigators as Related to Vaccination or to Study Procedures or Lack of Efficacy|Number of Subjects Reporting Any and Grade 3 Solicited Local Symptoms|Number of Subjects Reporting Any, Grade 3 and Related Solicited General Symptoms|Number of Subjects Reporting Any, Grade 3 and Related Unsolicited Adverse Events (AE)|Number of Subjects Reporting Serious Adverse Events (SAE)",GlaxoSmithKline,All,29 Years to 60 Years   (Adult),Phase 4,78,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,100576 (Y11)|100577 (Y12)|100578 (Y13)|100579 (Y14)|100580 (Y15)|111028 (Y16)|111029 (Y17)|111030 (Y18)|111031 (Y19)|111032 (Y20),"January 1, 2004","March 1, 2013","March 1, 2013","February 10, 2006","March 4, 2010","July 23, 2018","GSK Investigational Site, Wilrijk, Belgium",,https://ClinicalTrials.gov/show/NCT00289757
16,NCT00291876,"Long-Term Immune Persistence of GlaxoSmithKline Biologicals' Inactivated Hepatitis A Vaccine Injected According to a 0, 12-month Schedule",,Completed,Has Results,Hepatitis A,Biological: Havrix™,"Anti-hepatitis A Virus (Anti-HAV) Antibody Concentration|Number of Seropositive Subjects Against Hepatitis A Virus|Number of Subjects Reporting Solicited Local Symptoms|Number of Subjects Reporting Solicited General Symptoms|Number of Subjects Reporting Unsolicited Adverse Events (AE)|Number of Subjects Reporting Serious Adverse Events (SAE) Assessed by the Investigator as Related to Primary Study Vaccination, Procedures or Lack of Vaccine Efficacy|Number of Subjects Reporting Serious Adverse Events (SAE) After Additional Vaccination|Number of Subjects Reporting Pregnancies After Additional Vaccination",GlaxoSmithKline,All,29 Years to 60 Years   (Adult),Phase 4,135,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,100571 (M138)|100572 (M150)|100573 (M162)|100574 (M174)|100575 (M186)|110677 (M198)|110678 (M210)|110679|110680|110681,"January 1, 2004","March 1, 2013","March 1, 2013","February 15, 2006","March 8, 2010","November 29, 2017","GSK Investigational Site, Wilrijk, Belgium",,https://ClinicalTrials.gov/show/NCT00291876
17,NCT03231605,Comparative Immunogenicity Study of Two Hepatitis A Vaccines,,Unknown status,No Results Available,Hepatitis A,Biological: Hepatitis A Vaccine,To verify the protection rate and antibody quantity of experimental vaccine non-inferior than control vaccine.|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0,China National Biotec Group Company Limited|Shanxi Provincial Center for Disease Control and Prevention (China),All,18 Months to 24 Months   (Child),Phase 4,300,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention",91110000100010062X,"July 26, 2017","August 31, 2017","December 29, 2017","July 27, 2017",,"August 1, 2017","Shanxi Provincial Center for Disease Control and Prevention, Yuncheng, Shanxi, China",,https://ClinicalTrials.gov/show/NCT03231605
18,NCT02712359,"This Study Will Evaluate the Persistence of Hepatitis A Antibodies, 8 Years and 10 Years Later, in Children Who Had Received Havrix at Selected Health Centres of Panama",,Completed,Has Results,Hepatitis A Vaccine,Other: Blood sample collection,Number of Subjects With Anti-hepatitis A Virus (HAV) Seropositivity Status at Approximately 8 Years Following Last Administered Havrix Dose|Number of Subjects With Anti-HAV Seropositivity Status at Approximately 10 Years Following Last Administered Havrix Dose|Anti-HAV Antibody Concentrations at Approximately 8 Years Following Last Administered Havrix Dose|Anti-HAV Antibody Concentrations at Approximately 10 Years Following Last Administered Havrix Dose|Number of Subjects With Anti-HAV Antibody Concentration ≥ 15 mIU/mL at Approximately 8 Years Following Last Administered Havrix Dose - Exploration of Non-inferiority of the 1-dose Schedule Compared to the 2-dose Schedule of Havrix|Number of Subjects With Anti-HAV Antibody Concentrations ≥ 15 mIU/mL at Approximately 10 Years Following Last Administered Havrix Dose - Exploration of Non-inferiority of the 1-dose Schedule Compared to the 2-dose Schedule of Havrix,GlaxoSmithKline,All,8 Years to 15 Years   (Child),Not Applicable,1201,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,201630,"June 1, 2016","August 22, 2018","August 22, 2018","March 18, 2016","September 23, 2019","November 19, 2019","GSK Investigational Site, Chiriquí, Panama|GSK Investigational Site, Juán Diaz, Panama|GSK Investigational Site, Panama, Panama|GSK Investigational Site, Panamá, Panama","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT02712359/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT02712359/Prot_001.pdf",https://ClinicalTrials.gov/show/NCT02712359
19,NCT01307436,"Long Term Follow-up of a Study to Assess the Safety and Immunogenicity of a Hepatitis A Vaccine Administered With and in the Absence of DTPaHibIPV, OPV and MMR Vaccines",,Completed,No Results Available,Hepatitis A,Biological: Epaxal|Biological: Havrix 720,Anti-hepatitis A virus (HAV) antibody concentrations|Geometric mean concentrations (GMC)|Proportion of seroprotected subjects,Crucell Holland BV,All,12 Months to 15 Months   (Child),Phase 3,327,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,CR106637|EPA 004 FU,"March 14, 2007","July 8, 2013","July 8, 2013","March 3, 2011",,"April 8, 2019","Beer-Sheva, Israel|Petach-Tikva, Israel",,https://ClinicalTrials.gov/show/NCT01307436
20,NCT00312858,"Concomitant Use of Hepatitis A Vaccine With Measles, Mumps, Rubella and Varicella Vaccine and Pneumococcal 7-Valent Conjugate Vaccine in Healthy 12-Month-Old Children (V251-067)",,Completed,Has Results,Hepatitis A Virus,"Biological: Comparator: VAQTA™ (Hepatitis A vaccine)|Biological: Comparator: ProQuad™ (Measles, Mumps, Rubella and Varicella vaccine)|Biological: Comparator: Prevnar™ (Pneumococcal 7-Valent Conjugate vaccine)",Antibody Response to Hepatitis A - Participants With a Serological Response|Antibody Response to Varicella - Participants With a Serological Response|Antibody Response to Streptococcus Pneumoniae - Geometric Mean Titers|Participants With 1 or More Systemic Adverse Experience|Participants With 1 or More Systemic Adverse Experience.|Participants With 1 or More Injection-site Adverse Experience|Participants With Elevated Temperature (≥102.2F/ ≥39.0C)|Participants With 1 or More Serious Vaccine-related Adverse Experience,Merck Sharp & Dohme Corp.,All,12 Months to 15 Months   (Child),Phase 4,653,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,V251-067|2005_075,April 2006,March 2008,March 2008,"April 11, 2006","August 3, 2009","April 13, 2017",,,https://ClinicalTrials.gov/show/NCT00312858
21,NCT01360970,Hepatitis A Vaccine in Patients With Immunomodulating Drugs,,Completed,No Results Available,Response to Hepatitis A Vaccine,Biological: hepatitis A vaccine ( HAVRIX or EPAXAL),seroconversion after a single dose of hepatitis A vaccine|seroconversion rates after a second dose of hepatitis A vaccine,"Lars Rombo|Sormland County Council, Sweden",All,"18 Years and older   (Adult, Older Adult)",Phase 2,68,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,EU 2009-016055-22,September 2009,May 2011,May 2011,"May 26, 2011",,"November 18, 2015","Dept infectious diseases, Helsingfors, Finland|Dept infectious diseases, Eskilstuna, Sweden|Dept infectious diseases, Karlstad, Sweden|Department of infectious diseases, Stockholm, Sweden",,https://ClinicalTrials.gov/show/NCT01360970
22,NCT00534885,"Safety, Immunogenicity, and Immune Persistence Study of an Inactivated Hepatitis A Vaccine",,Completed,No Results Available,Hepatitis A,Biological: Healive® Lot 1|Biological: Healive® Lot 2|Biological: Healive® Lot 3|Biological: Havrix,Anti-HAV titer|Solicited adverse reactions (AE): local reactions and systematic reactions|Unsolicited adverse reactions (AE)|Change of anti-HAV titer: geometry mean titer(GMT) and seroconversion rate,"Sinovac Biotech Co., Ltd",All,12 Months to 10 Years   (Child),Phase 4,400,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",PRO-HA-4006|PRO-HA-4008 (11 Y follow-up),March 2006,October 2017,October 2017,"September 26, 2007",,"September 4, 2019","Changzhou City Center for Disease Control and Prevention, Changzhou, Jiangsu, China",,https://ClinicalTrials.gov/show/NCT00534885
23,NCT00289913,"Concomitant Use of Hepatitis A Vaccine, Inactivated With Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate) and Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed Given to Healthy Children 15 Months of Age (V251-068)",,Completed,Has Results,Hepatitis A Virus,Biological: Comparator: VAQTA™|Biological: Comparator: Infanrix™|Biological: Comparator: PedvaxHIB™,"Seropositivity Rate (SPR) to Hepatitis A|Antibody Response Rate to Haemophilus Influenzae Type b (Hib)|Number of Participants With Adverse Events (AE)|Geometric Mean Titers (GMTs) to Antibodies for the Pertussis Toxin (PT), Pertussis Filamentous Hemagglutinin Antibody (FHA), and Pertactin (PRN) Components of Infanrix™",Merck Sharp & Dohme Corp.,All,12 Months to 17 Months   (Child),Phase 4,1274,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,V251-068|2005_076,April 2006,June 2010,June 2010,"February 10, 2006","July 7, 2011","April 13, 2017",,,https://ClinicalTrials.gov/show/NCT00289913
24,NCT01865968,Comparison of Immunogenicity and Safety of Inactivated and Live Attenuated Hepatitis A Vaccines in Young Adults,,Completed,No Results Available,Hepatitis A,Biological: Inactivated HAV vaccine|Biological: Live attenuated HAV vaccine,concentration of antibody to hepatitis A virus|reported side effects and adverse events,"Sinovac Biotech Co., Ltd",All,"16 Years to 25 Years   (Child, Adult)",Phase 4,239,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",PRO-HA-4009,October 2008,December 2011,September 2012,"May 31, 2013",,"May 14, 2015","Nanchang Center for Disease prevention and Control, Nanchang, Jiangxi, China",,https://ClinicalTrials.gov/show/NCT01865968
25,NCT01252680,Immunogenicity and Interchangeability of Two Inactivated Hepatitis A Vaccines,,Completed,No Results Available,Hepatitis A,Biological: Healive+Healive|Biological: Healive+Havrix|Biological: Havrix+Havrix|Biological: Havrix+Healive,Immunogenicity and interchangeability of two inactivated hepatitis A vaccines|safety of two inactivated hepatitis A vaccines,"Sinovac Biotech Co., Ltd",All,18 Months to 5 Years   (Child),Phase 4,303,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",PRO-HA-4014,April 2010,February 2011,May 2011,"December 3, 2010",,"March 15, 2013","Tianjin Centers for Diseases Control and Prevention, Tianjin, Tianjin, China",,https://ClinicalTrials.gov/show/NCT01252680
26,NCT00603252,Study to Show That the Combined Hepatitis A and B Vaccine is Non-inferior to Monovalent Vaccines in Adults,,Completed,No Results Available,Hepatitis B|Hepatitis A,Biological: Twinrix|Biological: Engerix-B|Biological: Havrix|Biological: HBVAXPRO|Biological: Vaqta,"Anti-HAV immune response to the challenge dose|Anti-HBs antibody response to the challenge dose|Percentage of subjects with anti-HAV antibody titres ≥ 15 mIU/ml and GMTs calculated on seropositive subjects|Percentage of subjects with anti-HBs antibody titres ≥ 3.3 mIU/ml, ≥ 10 mIU/ml, ≥ 100 mIU/ml and anti-HBs GMTs calculated on seropositive subjects|Occurrence and intensity of solicited local symptoms|Occurrence, intensity and relationship of solicited general symptoms|Occurrence, intensity and relationship to vaccination of unsolicited symptoms reported|Occurrence of all serious adverse events (SAEs) reported",GlaxoSmithKline,All,"41 Years and older   (Adult, Older Adult)",Phase 4,213,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,111149,January 2008,June 2008,June 2008,"January 29, 2008",,"March 14, 2017","GSK Investigational Site, Wilrijk, Belgium|GSK Investigational Site, Finsterwalde, Brandenburg, Germany|GSK Investigational Site, Dresden, Sachsen, Germany|GSK Investigational Site, Geringswalde, Sachsen, Germany|GSK Investigational Site, Pirna, Sachsen, Germany|GSK Investigational Site, Bad Bramstedt, Schleswig-Holstein, Germany|GSK Investigational Site, Bad Segeberg, Schleswig-Holstein, Germany|GSK Investigational Site, Elmshorn, Schleswig-Holstein, Germany",,https://ClinicalTrials.gov/show/NCT00603252
27,NCT00289718,"Long-Term Immune Persistence of GSK Biologicals' Combined Hepatitis A & B Vaccine Injected According to a 0,1,6 Month Schedule",,Completed,Has Results,Hepatitis B|Hepatitis A,Biological: Twinrix™ adult,Anti-hepatitis A Virus (Anti-HAV) Antibody Concentration|Number of Subjects Reporting Any and Grade 3 Solicited Local Symptoms.|Number of Subjects Seropositive for Anti-HAV Antibodies|Anti-hepatitis B Surface Antigen (Anti-HBs) Antibody Concentration|Number of Subjects Seropositive for Anti-HB Antibodies|Number of Subjects Seroprotected for Anti-HBs Antibodies.|Number of Subjects Reporting Serious Adverse Events (SAE)|Anti-Hepatitis B Surface Antigen (Anti-HBs) Antibody Concentration|Number of Subjects Reporting Any Solicited General Symptoms.|Number of Subjects Reporting Unsolicited Adverse Events (AE)|Number of Subjects Reporting Serious Adverse Events (SAEs),GlaxoSmithKline,All,"18 Years and older   (Adult, Older Adult)",Phase 3,51,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,100556 (Y11)|100557 (Y12)|100558 (Y13)|100559 (Y14)|100560 (Y15),"November 1, 2004","March 2, 2005","March 2, 2005","February 10, 2006","August 26, 2010","February 15, 2018","GSK Investigational Site, Gent, Belgium",,https://ClinicalTrials.gov/show/NCT00289718
